Date;Open;Low;High;Close;Volume
20140102;1.22645;1.22643;1.23203;1.2289;95183.21972008797
20140103;1.2289;1.2280799999999998;1.2312100000000001;1.22958;60054.46969706565
20140106;1.23011;1.22936;1.2332299999999998;1.23196;63259.9498102963
20140107;1.23193;1.23164;1.2380799999999998;1.23776;59983.7798236534
20140108;1.23774;1.2358;1.2394;1.23706;66436.72974985838
20140109;1.23706;1.23355;1.23868;1.23406;74298.72960050403
20140110;1.23406;1.23224;1.23481;1.23347;69523.19968989491
20140113;1.23274;1.22895;1.23431;1.22899;59028.539736039944
20140114;1.22904;1.22901;1.23479;1.23445;73343.99005181342
20140115;1.2344600000000001;1.2339;1.23696;1.23613;61352.309805355966
20140116;1.23613;1.23148;1.23742;1.23222;65783.88966748862
20140117;1.23222;1.2317;1.23363;1.23205;62941.70986163616
20140120;1.2318200000000001;1.2318200000000001;1.23415;1.23318;40306.169769912965
20140121;1.2332;1.23246;1.23764;1.234;56776.41980708392
20140122;1.23397;1.2332;1.23527;1.23478;47783.809827513986
20140123;1.23478;1.22755;1.23609;1.22889;80066.35970333964
20140124;1.22894;1.22258;1.23004;1.22292;79325.9596278891
20140127;1.2241799999999998;1.2226700000000001;1.22729;1.22548;68468.21961853652
20140128;1.22567;1.22486;1.22835;1.22645;53940.1898092553
20140129;1.22646;1.22127;1.22971;1.22186;80876.56972829998
20140130;1.2218799999999999;1.2217;1.22545;1.22367;73528.38963692635
20140131;1.22367;1.22104;1.22452;1.2220799999999998;77901.58974342048
20140203;1.22223;1.21845;1.2242;1.21858;70283.03965060411
20140204;1.21858;1.2185;1.22315;1.22154;56391.079764455564
20140205;1.22154;1.22044;1.22336;1.2227700000000001;60429.78979105502
20140206;1.2227700000000001;1.22114;1.22445;1.22433;63795.069717273116
20140207;1.2243;1.22185;1.2250299999999998;1.2242;60020.22993529588
20140210;1.2236200000000002;1.22245;1.22504;1.22365;40009.0899105072
20140211;1.22365;1.22274;1.2256799999999999;1.2249700000000001;56370.89992357791
20140212;1.22494;1.22337;1.22603;1.22421;56488.3599332571
20140213;1.2241799999999998;1.22068;1.2243600000000001;1.22209;62813.60988803952
20140214;1.22209;1.2206;1.2227700000000001;1.22184;50342.409865304835
20140217;1.2219200000000001;1.22116;1.22266;1.22183;39032.27995725721
20140218;1.22183;1.22114;1.2238;1.22181;50592.009941637516
20140219;1.22171;1.219;1.22254;1.2203;47509.3299587965
20140220;1.2203;1.21864;1.22099;1.2201600000000001;65146.859938248985
20140221;1.22015;1.21889;1.22107;1.21905;65354.91997484862
20140224;1.2191;1.2186;1.22179;1.22078;56282.939979329705
20140225;1.22075;1.21879;1.22112;1.21888;65286.8599299118
20140226;1.21885;1.2185;1.2204;1.21897;65405.62992290408
20140227;1.21896;1.21566;1.219;1.21767;88424.54994242637
20140228;1.2177;1.21327;1.2182600000000001;1.21399;93908.79997473957
20140303;1.21151;1.21033;1.2138799999999998;1.21284;61708.25991705059
20140304;1.21284;1.21255;1.21947;1.2193200000000002;61233.77991013974
20140305;1.2193100000000001;1.2175799999999999;1.2199799999999998;1.21835;57124.189956851296
20140306;1.21835;1.21801;1.22145;1.22028;69018.67999053001
20140307;1.22028;1.21672;1.22141;1.21801;64396.540199831135
20140309;1.21706;1.21706;1.21777;1.21757;509.32000385224836
20140310;1.2175799999999999;1.21675;1.2192100000000001;1.21803;47246.01021438837
20140311;1.21802;1.21648;1.21922;1.21672;46137.35029865057
20140312;1.21671;1.21505;1.2168;1.2152;58513.54022540152
20140313;1.2152;1.21244;1.21674;1.2129;76432.97051236777
20140314;1.2128700000000001;1.2122;1.21452;1.21344;62958.0602959916
20140316;1.21333;1.21316;1.21377;1.2137200000000001;834.6699765101073
20140317;1.21373;1.21319;1.21591;1.21566;51494.78025022148
20140318;1.21564;1.2149299999999998;1.2178;1.2166;53262.16041763872
20140319;1.2166;1.21601;1.22017;1.21843;60837.00034053624
20140320;1.21842;1.2162;1.22032;1.2176200000000001;71080.090432778
20140321;1.21764;1.2165;1.21858;1.2173;52957.860230892904
20140323;1.21694;1.21678;1.21719;1.2171100000000001;535.1100007295609
20140324;1.2171100000000001;1.21682;1.22017;1.2189;54064.5904647708
20140325;1.2189;1.2180799999999998;1.2217200000000001;1.22042;66852.62045112252
20140326;1.22042;1.2193;1.2234399999999999;1.2198;66643.74054123461
20140327;1.2198;1.21761;1.22065;1.21825;62610.35037609935
20140328;1.21824;1.2178;1.2201;1.21937;55128.400403007865
20140331;1.2187;1.2171;1.2204700000000002;1.21802;56514.500370293856
20140401;1.21801;1.21735;1.21894;1.21846;50821.33032433689
20140402;1.21844;1.2183;1.22086;1.22053;46046.7303943038
20140403;1.22054;1.21937;1.2232399999999999;1.22232;62123.710381664336
20140404;1.22235;1.2215799999999999;1.22491;1.22201;59746.740369983025
20140407;1.22217;1.2195200000000002;1.22285;1.22009;57638.180411435664
20140408;1.22009;1.21807;1.22032;1.21855;75813.37039183825
20140409;1.21856;1.21706;1.2196;1.21866;83960.30035638809
20140410;1.21865;1.2162899999999999;1.21908;1.2170100000000001;73251.04043709487
20140411;1.21698;1.21505;1.21784;1.21609;68481.66049868612
20140414;1.2151299999999998;1.21411;1.21602;1.2157200000000001;71105.21032376587
20140415;1.21571;1.2148700000000001;1.2166;1.2157799999999999;68607.53039792925
20140416;1.21576;1.21576;1.2203;1.2182;57608.06047010423
20140417;1.21812;1.2168700000000001;1.22048;1.22001;59829.4303874448
20140418;1.21999;1.21926;1.2204;1.2195799999999999;33803.550424553454
20140421;1.2195200000000002;1.2193;1.22081;1.22065;35710.60030976683
20140422;1.22065;1.22043;1.222;1.22166;50378.8404520303
20140423;1.22163;1.21925;1.22243;1.22054;58050.630339019
20140424;1.22054;1.21853;1.22148;1.2195;54787.54041416943
20140425;1.21948;1.21852;1.21999;1.21948;48562.91044571251
20140428;1.2187299999999999;1.21715;1.21976;1.21908;61621.77042564005
20140429;1.21899;1.21899;1.22129;1.2201600000000001;56929.14047511668
20140430;1.22015;1.2191299999999998;1.2210299999999998;1.22061;73768.29040269554
20140501;1.22062;1.21888;1.2209;1.2193100000000001;40882.64023710787
20140502;1.2193100000000001;1.21747;1.2213;1.21796;69217.30027468503
20140505;1.2173;1.21698;1.21828;1.2178200000000001;40064.03020001948
20140506;1.2178;1.21627;1.21868;1.21763;53003.64015910029
20140507;1.2176200000000001;1.21646;1.21916;1.21878;48123.10021692514
20140508;1.21879;1.21717;1.21904;1.2180799999999998;68191.61037160456
20140509;1.2180799999999998;1.21805;1.2199200000000001;1.21943;54048.470488645136
20140512;1.2186700000000001;1.21851;1.22181;1.22141;43051.67032764852
20140513;1.22143;1.2192;1.22147;1.21966;67990.83032335341
20140514;1.21965;1.21905;1.2203;1.22017;52778.50031685084
20140515;1.2201899999999999;1.21964;1.22296;1.22136;68286.24042286724
20140516;1.2213200000000002;1.2206;1.22245;1.22241;47825.15020181238
20140519;1.22207;1.22155;1.22356;1.2231100000000001;50005.43022108823
20140520;1.2231;1.22122;1.2237;1.22204;47969.73028971254
20140521;1.22204;1.22068;1.2228;1.22252;51564.67029120028
20140522;1.22252;1.2208700000000001;1.2227299999999999;1.2209299999999998;53497.780236408114
20140523;1.22092;1.22055;1.22166;1.2207;47384.82027798147
20140526;1.22088;1.22052;1.22148;1.22065;36174.350256688886
20140527;1.22061;1.22061;1.22286;1.22261;45435.37033120543
20140528;1.22262;1.22088;1.2234200000000002;1.2209999999999999;47167.35023254901
20140529;1.2209999999999999;1.22005;1.22143;1.22123;43948.880177117884
20140530;1.2212399999999999;1.21938;1.22165;1.2203600000000001;52499.9202972278
20140602;1.21997;1.21997;1.2224700000000002;1.22189;50377.66022319347
20140603;1.2219200000000001;1.2211100000000001;1.2225700000000002;1.22146;52739.850297264755
20140604;1.2214399999999999;1.21938;1.22231;1.2200600000000001;62400.030358031385
20140605;1.22005;1.21722;1.22076;1.21755;98536.85039928557
20140606;1.21755;1.21659;1.21943;1.21904;78395.86036954075
20140609;1.21886;1.21878;1.21991;1.2193100000000001;52697.7103073448
20140610;1.2193;1.21796;1.21963;1.218;69357.78025718777
20140611;1.21797;1.21702;1.2187299999999999;1.2176799999999999;74988.98025471716
20140612;1.2176799999999999;1.21704;1.21835;1.21738;61844.320360720165
20140613;1.21737;1.21653;1.2189299999999998;1.21853;60006.370393887155
20140616;1.21824;1.2172399999999999;1.2187;1.2176200000000001;50793.96022558957
20140617;1.2176200000000001;1.21747;1.21917;1.2184;44216.48028796911
20140618;1.21835;1.21761;1.21894;1.2178;46200.900252945736
20140619;1.2178;1.2152100000000001;1.2185;1.21655;53344.32028990983
20140620;1.21653;1.21614;1.21776;1.21688;31850.099965557456
20140623;1.21644;1.21621;1.21766;1.2163700000000002;45500.83027156442
20140624;1.21641;1.21584;1.21747;1.21607;40012.2599991262
20140625;1.21605;1.2159;1.2169299999999998;1.2168299999999999;42015.130225010216
20140626;1.21676;1.21564;1.21712;1.21623;41913.76022802293
20140627;1.21624;1.2150299999999998;1.21652;1.21566;45137.13021411002
20140630;1.2157200000000001;1.21396;1.21609;1.21418;44688.52015978098
20140701;1.21418;1.21329;1.2147299999999999;1.21395;51885.95030727983
20140702;1.21391;1.21345;1.21431;1.21397;44911.5302067101
20140703;1.21395;1.21383;1.21648;1.21565;53158.53022518009
20140704;1.21563;1.2152;1.21625;1.2152;40199.600244939335
20140707;1.21581;1.2151;1.21645;1.21547;41083.97026062757
20140708;1.21547;1.21475;1.2157200000000001;1.21541;42440.25024780631
20140709;1.21541;1.21518;1.21589;1.21535;47216.14030176401
20140710;1.21535;1.21369;1.21553;1.2141899999999999;48476.300270192325
20140711;1.2141600000000001;1.21371;1.2146;1.21389;43695.35025911033
20140714;1.21365;1.21357;1.21481;1.21455;40963.830217309296
20140715;1.21454;1.21395;1.21555;1.21525;51473.950296022005
20140716;1.21523;1.21495;1.21573;1.21495;40737.02004628629
20140717;1.21495;1.21371;1.2150100000000001;1.2138200000000001;53514.59028930962
20140718;1.21381;1.21353;1.21516;1.2150299999999998;46583.740244083114
20140721;1.21466;1.21415;1.21551;1.21432;38167.650223724544
20140722;1.2143;1.21421;1.21537;1.21497;41663.080258145936
20140723;1.21495;1.21452;1.21538;1.2146;31910.240192502733
20140724;1.21458;1.21432;1.21553;1.21507;34162.130170151584
20140725;1.21507;1.21475;1.21574;1.21489;34633.71016573906
20140728;1.2149;1.2145;1.21553;1.2147;33475.250170484185
20140729;1.21468;1.2146299999999999;1.21636;1.21602;40572.03027135134
20140730;1.21603;1.21593;1.21775;1.21755;63281.33037041872
20140731;1.21747;1.21604;1.21754;1.2168;48885.31027474255
20140801;1.2167299999999999;1.21547;1.21704;1.21623;52019.04026985914
20140804;1.2159;1.2158;1.2169299999999998;1.2168;34282.110034950085
20140805;1.21678;1.2159200000000001;1.2176799999999999;1.2159200000000001;44157.59998692572
